State,Alzheimer's,Arthritis,AFib,Cancer,CKD,COPD,Diabetes,HF,Hyperlipidemia,Hypertension,IHD,Osteoporosis,Stroke
Alabama,3351194648.5,4775224950.653817,1447080553.96059,1076093100.633573,3487153889.643288,2121162964.5001097,3127098265.44627,3564196027.2757735,5255139494.917625,6715438067.574742,4999420720.548708,702992718.7742277,896005451.1438354
Alaska,170878147.23,276882283.25818706,84557616.17026138,73720694.09832594,223837321.53168702,174672786.2474296,174548640.21002653,199891944.19807217,278596939.93759096,469222465.17359203,279640771.30361694,35408083.322141774,44985365.93921897
Arizona,2802095646.88,4877069198.493839,1591167658.1723828,1180986237.1703212,3546144812.3724566,2064394529.7465794,3323071070.742344,3274749324.474843,5526270284.130755,7141895965.478821,5145864552.131505,915191776.3579966,882395015.514639
Arkansas,1931924317.05,2475160890.486499,930567912.3754011,624079054.6934936,1829712617.044622,1197849948.0652182,1552577517.9799094,2060490260.9191787,2706298932.244798,3777052365.490937,3045765973.4049387,432448298.6480683,502177624.3530292
California,20962606627.99,28787637110.081738,10871906243.798763,7368969656.436151,23120724246.877747,13728863921.534496,20224274963.478146,23113245129.68066,35798087937.43291,44571207570.76543,32332376889.613983,5514457978.3616905,6332039281.465362
Colorado,2084005807.89,3404183295.5302253,1058661521.7845324,789091553.7492515,2002664290.8883994,1443893876.519642,1621829744.3591087,2188270662.740596,2956490704.2058077,4183172175.980295,2936418821.822853,680868210.5207721,530370487.96666354
Connecticut,2781630717.0,3396830173.903426,1566644583.6519377,1003261020.0167019,2618828483.818864,1613350919.2175522,2058935830.8981388,2711563313.533838,4410192620.4766,5275474632.176017,3825417836.3789763,665565416.9778063,668494463.174099
Delaware,596818841.61,938032681.250499,374655525.2234947,264601323.63478452,740344598.4404849,385497772.67144275,629093448.7865802,600657919.9271814,1316449340.2369015,1442416874.7968938,1065638853.8403757,141772227.31913102,224259292.74954343
District of Columbia,455965331.28,442773727.2132378,124357724.30161701,120532143.39553314,394200171.64162356,163208439.27482718,346594435.2029524,378949000.9404187,517645317.942956,684236646.6413664,503508320.77882516,52091590.5889974,130741827.79677384
Florida,17778968063.08,23573249955.658,8639880475.47403,5876493844.288365,17592561287.11969,11760469752.703281,15662854114.774376,17671953050.147564,28308995061.55268,33709830421.924873,27321581029.902428,3954682190.2812386,4789491833.741754
