State,Alzheimer's,Arthritis,AFib,Cancer,CKD,COPD,Diabetes,HF,Hyperlipidemia,Hypertension,IHD,Osteoporosis,Stroke
Alabama,148585,445632,99732,97874,313665,157942,353414,196826,591610,761406,359333,74954,49485
Alaska,6919,21191,4912,5683,14903,9378,16585,8147,21788,38485,15743,2696,1928
Arizona,114382,427311,104312,109212,315299,136916,347240,151567,597081,725108,339101,97365,44222
Arkansas,87137,224392,65251,55293,147443,87410,175714,111624,286238,415562,225140,44081,27438
California,634224,1959174,534353,526435,1459356,649108,1625257,864736,2910503,3457128,1565282,459022,227732
Colorado,91077,290451,68891,71158,164112,100910,173653,109739,290152,397285,193460,62305,26339
Connecticut,97093,234068,86010,73678,168507,86790,173502,107395,376741,440976,194107,55805,28176
Delaware,22114,79155,22894,22504,58377,24342,65563,25958,144662,147559,66510,14706,10639
District of Columbia,14767,30286,5643,9311,23043,7148,26618,13356,37340,53894,22197,5173,4797
Florida,631856,1828217,513497,489504,1384992,718034,1423917,783529,2821484,3129283,1699079,383645,228755
Georgia,221882,655878,164712,158858,514650,249610,549229,281493,983387,1219918,534998,120412,76847
Hawaii,24518,53219,15865,19230,57690,15528,60478,22980,132110,131485,44854,20595,7788
Idaho,33530,107621,28873,26832,66564,31712,79574,44808,104664,158071,73685,22011,8498
Illinois,255519,802275,230990,208355,557664,315584,616424,360605,1148461,1423163,677271,142729,84370
Indiana,153715,459782,127066,113547,332519,184716,365024,205005,658896,818439,397165,87983,49318
Iowa,70396,200531,66151,54984,138742,68627,156427,90856,290252,364688,165436,43607,19886
Kansas,66806,182455,55815,48639,121796,69312,140880,82687,235657,325433,156207,38526,19339
Kentucky,119270,364314,95302,77277,261004,176998,297408,172610,503885,637767,322393,60124,36720
Louisiana,127530,344378,82950,80427,247206,121823,285632,161280,469582,621623,318215,60263,44352
Maine,38997,104941,36880,28498,76191,44864,81283,48049,149113,186936,89770,20158,10397
Maryland,125181,388014,105013,106862,273111,123074,323725,139716,610769,699484,308330,72804,49496
Massachusetts,164418,448828,154232,143767,317908,148026,302792,185326,664767,795320,340812,113111,53701
Michigan,246416,762186,213912,188627,519969,291384,565778,338864,1027953,1260725,639997,133527,77490
Minnesota,109152,284812,104611,86644,242159,95193,235810,153447,357880,515746,259475,61162,33773
Mississippi,81183,248740,53751,53424,159676,78743,196904,106963,290180,425198,200029,39937,27334
Missouri,150408,453689,124130,112683,297822,182720,337832,196876,568762,752299,373535,81928,45739
Montana,21815,66607,17620,20708,41285,23711,49197,29882,66013,102985,51932,14216,5538
Nebraska,38299,122114,36605,29823,72235,40647,83403,52635,140263,189984,96250,25372,10416
Nevada,52148,164318,40272,42876,121641,71237,126296,70329,218032,277565,125433,28761,18902
New Hampshire,31253,96492,31080,27051,59685,32116,68837,36001,134479,164984,72923,18821,10101
New Jersey,212973,588462,179084,173511,423837,186916,514735,259062,967566,1070287,547042,118536,84948
New Mexico,40405,134573,26451,29418,88592,44206,114228,54989,167008,223263,101457,29659,12061
New York,462169,1199147,396379,380827,895581,479141,1044453,587220,1978502,2275362,1097508,254168,151679
North Carolina,247258,715917,193347,188815,546551,264072,624938,304279,1065367,1330609,563956,140126,83239
North Dakota,13447,42576,10790,11320,31879,14342,33704,20516,55867,71159,37670,11350,4023
Ohio,268104,898323,247171,216050,636820,340040,690982,384246,1270448,1536712,749689,157756,96484
Oklahoma,92172,296699,68010,60658,199655,120317,221946,145293,359879,493879,267452,45722,29693
Oregon,79497,259349,78714,70313,171566,81194,192813,110601,307277,411975,186015,51226,25072
Pennsylvania,325062,1012389,295862,272082,715632,335662,757508,417390,1559118,1741843,833048,225882,118610
Rhode Island,24678,80383,24069,25476,51523,25628,54641,29735,129017,143580,62436,16731,9278
South Carolina,126073,388784,99138,103570,278330,125413,337803,155740,623589,753344,304363,70792,45384
South Dakota,16696,54194,15196,15098,39227,19760,44581,24891,70139,93879,45892,11338,4344
Tennessee,169686,518990,134081,122065,392121,206732,417155,235428,710972,918685,449015,88574,50645
Texas,608832,1617322,389857,341627,1119083,576141,1282401,792974,2149892,2759245,1449127,309018,198293
Utah,41508,132526,34007,30162,84508,31075,99505,57428,121853,186595,88894,25614,11010
Vermont,14005,45200,13905,11893,26218,14960,31357,16183,50545,74706,35089,7676,4161
Virginia,176076,524823,143941,144235,390533,181955,448487,216833,824265,981922,413445,98460,62459
Washington,134169,408105,131139,112950,290148,131965,321079,179140,523234,685760,303169,78041,43069
West Virginia,53485,169345,43148,36677,120021,78099,139760,73529,239003,291825,151050,28523,16794
Wisconsin,115176,359722,114492,101027,286948,116220,285488,172137,514519,634298,302695,71535,34399
Wyoming,9904,31068,8201,8232,17588,11929,23132,13556,28302,46541,24407,6026,2680
